#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
71        	3         	ok              	5.7330000000e-04	6.0010000000e+02	1.2729767502e+16	6.9194980607e+15	2.3671089677e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
72        	3         	ok              	4.8370000000e-04	5.9920000000e+02	1.0756381463e+16	5.8468312518e+15	2.3671076390e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
73        	3         	ok              	4.0810000000e-04	5.9830000000e+02	9.0888553065e+15	4.9404199738e+15	2.3671059207e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
74        	3         	ok              	3.4430000000e-04	5.9730000000e+02	7.6807867647e+15	4.1750413862e+15	2.3671037558e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
75        	3         	ok              	2.9050000000e-04	5.9630000000e+02	6.4914544643e+15	3.5285607938e+15	2.3671009615e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
76        	3         	ok              	2.4510000000e-04	5.9520000000e+02	5.4870691586e+15	2.9826113464e+15	2.3670974617e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
77        	4         	ok              	2.0670000000e-04	5.9390000000e+02	4.6375266960e+15	2.5208292432e+15	2.3670932393e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
78        	4         	ok              	1.7440000000e-04	5.9250000000e+02	3.9220800756e+15	2.1319371766e+15	2.3670881106e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
79        	4         	ok              	1.4720000000e-04	5.9100000000e+02	3.3187728445e+15	1.8040003026e+15	2.3670819429e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
80        	4         	ok              	1.2420000000e-04	5.8950000000e+02	2.8073307322e+15	1.5259983476e+15	2.3670742841e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
